code,name,level,codeabbr,prov,city
110000,北京市,1,11,,r,prov,city
110000,北京市,1,11,,
110101,东城区,3,110101,北京市,北京市
110102,西城区,3,110102,北京市,北京市
110105,朝阳区,3,110105,北京市,北京市
110106,丰台区,3,110106,北京市,北京市
110107,石景山区,3,110107,北京市,北京市
110108,海淀区,3,110108,北京市,北京市
110109,门头沟区,3,110109,北京市,北京市
110111,房山区,3,110111,北京市,北京市
110112,通州区,3,110112,北京市,北京市
110113,顺义区,3,110113,北京市,北京市
110114,昌平区,3,110114,北京市,北京市
110115,大兴区,3,110115,北京市,北京市
110116,怀柔区,3,110116,北京市,北京市
110117,平谷区,3,110117,北京市,北京市
110118,密云区,3,110118,北京市,北京市
110119,延庆区,3,110119,北京市,北京市
120000,天津市,1,12,,
120101,和平区,3,120101,天津市,天津市
120102,河东区,3,120102,天津市,天津市
120103,河西区,3,120103,天津市,天津市
120104,南开区,3,120104,天津市,天津市
120105,河北区,3,120105,天津市,天津市
120106,红桥区,3,120106,天津市,天津市
120110,东丽区,3,120110,天津市,天津市
120111,西青区,3,120111,天津市,天津市
120112,津南区,3,120112,天津市,天津市
120113,北辰区,3,120113,天津市,天津市
120114,武清区,3,120114,天津市,天津市
120115,宝坻区,3,120115,天津市,天津市
120116,滨海新区,3,120116,天津市,天津市
120117,宁河区,3,120117,天津市,天津市
120118,静海区,3,120118,天津市,天津市
120119,蓟州区,3,120119,天津市,天津市
130000,河北省,1,13,,
130100,石家庄市,2,1301,河北省,
130102,长安区,3,130102,河北省,石家庄市
130104,桥西区,3,130104,河北省,石家庄市
130105,新华区,3,130105,河北省,石家庄市
130107,井陉矿区,3,130107,河北省,石家庄市
130108,裕华区,3,130108,河北省,石家庄市
130109,藁城区,3,130109,河北省,石家庄市
130110,鹿泉区,3,130110,河北省,石家庄市
130111,栾城区,3,130111,河北省,石家庄市
130121,井陉县,3,130121,河北省,石家庄市
130123,正定县,3,130123,河北省,石家庄市
130125,行唐县,3,130125,河北省,石家庄市
130126,灵寿县,3,130126,河北省,石家庄市
130127,高邑县,3,130127,河北省,石家庄市
130128,深泽县,3,130128,河北省,石家庄市
130129,赞皇县,3,130129,河北省,石家庄市
130130,无极县,3,130130,河北省,石家庄市
130131,平山县,3,130131,河北省,石家庄市
130132,元氏县,3,130132,河北省,石家庄市
130133,赵县,3,130133,河北省,石家庄市
130181,辛集市,3,130181,河北省,石家庄市
130183,晋州市,3,130183,河北省,石家庄市
130184,新乐市,3,130184,河北省,石家庄市
130200,唐山市,2,1302,河北省,
130202,路南区,3,130202,河北省,唐山市
130203,路北区,3,130203,河北省,唐山市
130204,古冶区,3,130204,河北省,唐山市
130205,开平区,3,130205,河北省,唐山市
130207,丰南区,3,130207,河北省,唐山市
130208,丰润区,3,130208,河北省,唐山市
130209,曹妃甸区,3,130209,河北省,唐山市
130224,滦南县,3,130224,河北省,唐山市
130225,乐亭县,3,130225,河北省,唐山市
130227,迁西县,3,130227,河北省,唐山市
130229,玉田县,3,130229,河北省,唐山市
130281,遵化市,3,130281,河北省,唐山市
130283,迁安市,3,130283,河北省,唐山市
130284,滦州市,3,130284,河北省,唐山市
130300,秦皇岛市,2,1303,河北省,
